route_id,fare_per_km,avg_fare_per_km,fare_amount,trip_distance
45_79,25.208333333333332,8.426506065656396,12.1,0.48
45_87,122.80701754385966,12.257786866245535,70.0,0.57
45_87,145.83333333333334,12.257786866245535,70.0,0.48
45_87,90.69767441860465,12.257786866245535,39.0,0.43
45_90,9.9,6.866204304728203,19.8,2.0
48_100,150.0,16.852891643382335,3.0,0.02
48_100,143.33333333333334,16.852891643382335,8.6,0.06
48_100,300.0,16.852891643382335,3.0,0.01
48_100,150.0,16.852891643382335,3.0,0.02
48_100,1400.0,16.852891643382335,70.0,0.05
48_100,636.3636363636364,16.852891643382335,70.0,0.11
48_100,162.85714285714283,16.852891643382335,11.4,0.07
48_113,10.542986425339366,6.691567473227298,23.3,2.21
48_113,10.938967136150236,6.691567473227298,23.3,2.13
48_113,10.130434782608697,6.691567473227298,23.3,2.3
48_113,15.571428571428573,6.691567473227298,43.6,2.8
48_113,9.959677419354838,6.691567473227298,24.7,2.48
48_113,11.869158878504672,6.691567473227298,25.4,2.14
48_113,10.185185185185185,6.691567473227298,27.5,2.7
48_113,13.060344827586208,6.691567473227298,30.3,2.32
48_113,9.43661971830986,6.691567473227298,26.8,2.84
48_113,10.09216589861751,6.691567473227298,21.9,2.17
48_113,12.428571428571429,6.691567473227298,26.1,2.1
48_113,9.694189602446484,6.691567473227298,31.7,3.27
48_113,11.379310344827587,6.691567473227298,19.8,1.74
48_12,6.688741721854305,5.518248921800211,30.3,4.53
48_12,6.784037558685446,5.518248921800211,28.9,4.26
48_137,12.538071065989847,7.955807304713318,24.7,1.97
48_137,11.923076923076923,7.955807304713318,31.0,2.6
48_137,15.391304347826088,7.955807304713318,17.7,1.15
48_137,12.297872340425531,7.955807304713318,28.9,2.35
48_137,12.207792207792208,7.955807304713318,28.2,2.31
48_137,11.988304093567251,7.955807304713318,20.5,1.71
48_137,12.553191489361703,7.955807304713318,17.7,1.41
48_137,14.452554744525546,7.955807304713318,19.8,1.37
48_137,13.177257525083611,7.955807304713318,39.4,2.99
48_137,12.972972972972972,7.955807304713318,24.0,1.85
