route_id,fare_per_min,avg_fare_per_min,trip_duration_minutes
100_142,1.805555556,1.067168997,3.6
100_142,2.03125,1.067168997,3.2
100_142,1.590604027,1.067168997,4.966666667
100_142,1.602484472,1.067168997,5.366666667
100_142,1.648854962,1.067168997,4.366666667
100_142,2.028169014,1.067168997,3.55
100_142,1.625,1.067168997,4
100_142,1.865853659,1.067168997,2.733333333
100_143,1.441860465,1.042603287,6.45
100_143,1.655172414,1.042603287,7.733333333
100_143,1.443037975,1.042603287,7.9
100_143,1.754385965,1.042603287,5.7
100_143,1.463414634,1.042603287,6.833333333
100_143,1.384615385,1.042603287,8.233333333
100_143,1.9030837,1.042603287,3.783333333
100_143,1.532967033,1.042603287,6.066666667
100_145,1.453924915,1.117337773,9.766666667
100_145,1.454545455,1.117337773,12.65
100_146,1.602797203,1.124395406,11.91666667
100_146,1.589459085,1.124395406,12.01666667
100_151,1.724238026,1.177636479,11.48333333
100_151,1.5954323,1.177636479,10.21666667
100_151,1.970315399,1.177636479,8.983333333
100_158,1.486111111,1.094219118,7.2
100_158,1.395,1.094219118,6.666666667
100_158,1.49132948,1.094219118,5.766666667
100_158,1.464566929,1.094219118,6.35
100_158,1.598853868,1.094219118,5.816666667
100_158,1.449350649,1.094219118,6.416666667
100_158,1.398373984,1.094219118,6.15
100_158,1.468421053,1.094219118,6.333333333
100_158,1.476190476,1.094219118,6.3
100_158,1.465753425,1.094219118,7.3
100_158,1.5,1.094219118,5.733333333
100_158,1.399061033,1.094219118,10.65
100_158,1.407407407,1.094219118,8.1
100_158,1.520435967,1.094219118,6.116666667
100_158,1.5,1.094219118,6.666666667
100_158,1.441860465,1.094219118,6.45
100_158,1.395149786,1.094219118,11.68333333
100_163,1.884057971,1.081428068,3.45
100_163,1.707509881,1.081428068,4.216666667
100_163,1.617554859,1.081428068,5.316666667
100_163,1.805555556,1.081428068,3.6
100_163,1.688311688,1.081428068,3.85
100_163,1.981651376,1.081428068,3.633333333
100_163,1.638095238,1.081428068,5.25
100_163,1.822429907,1.081428068,3.566666667
100_163,1.92,1.081428068,3.75
100_163,1.554098361,1.081428068,5.083333333
100_163,1.87012987,1.081428068,3.85
100_163,1.755555556,1.081428068,4.5
100_163,1.773195876,1.081428068,4.85
100_163,1.95,1.081428068,3.333333333
100_163,1.680781759,1.081428068,5.116666667
100_163,1.866028708,1.081428068,3.483333333
100_163,1.554317549,1.081428068,5.983333333
100_163,1.888888889,1.081428068,2.7
100_163,1.770491803,1.081428068,4.066666667
100_163,1.605947955,1.081428068,4.483333333
100_163,1.944134078,1.081428068,2.983333333
100_163,1.638095238,1.081428068,5.25
100_163,1.6,1.081428068,4.5
100_163,1.569536424,1.081428068,5.033333333
100_163,2.041884817,1.081428068,3.183333333
100_163,1.587692308,1.081428068,5.416666667
100_163,1.9030837,1.081428068,3.783333333
100_163,1.612244898,1.081428068,4.9
100_163,1.944134078,1.081428068,2.983333333
100_163,1.813953488,1.081428068,3.583333333
100_163,1.848341232,1.081428068,3.516666667
100_163,1.592592593,1.081428068,5.4
100_163,1.628865979,1.081428068,4.85
100_163,2.318181818,1.081428068,2.2
100_163,2.037735849,1.081428068,3.533333333
100_163,1.578947368,1.081428068,4.116666667
100_163,1.770491803,1.081428068,4.066666667
100_163,2.201438849,1.081428068,2.316666667
100_163,1.648854962,1.081428068,4.366666667
100_163,2.096385542,1.081428068,2.766666667
100_163,1.810526316,1.081428068,4.75
100_163,1.559210526,1.081428068,5.066666667
100_163,1.728,1.081428068,4.166666667
100_163,1.775280899,1.081428068,4.45
100_163,1.559210526,1.081428068,5.066666667
100_163,1.62406015,1.081428068,4.433333333
100_163,1.638655462,1.081428068,3.966666667
100_163,1.698924731,1.081428068,4.65
100_163,1.559566787,1.081428068,4.616666667
100_163,1.648854962,1.081428068,4.366666667
100_163,1.911764706,1.081428068,3.4
100_163,1.618604651,1.081428068,3.583333333
100_163,1.764705882,1.081428068,3.683333333
100_163,1.748878924,1.081428068,3.716666667
100_163,1.622641509,1.081428068,5.3
100_163,1.884057971,1.081428068,3.45
100_163,1.588235294,1.081428068,4.533333333
100_163,1.775510204,1.081428068,3.266666667
